,geoid,_incidents,_crimes,population,povertyrate,unemploymentrate,gas_leaks_person,crimes_person,ntaname,boro_name,centerLong,centerLat,hover
0,36047051100,47,36,3933,0.255,0.094,0.011950165,0.009153318,East Williamsburg,Brooklyn,-73.94857881038547,40.707559476986305,Brooklyn<br>East Williamsburg<br>36047051100<br>gas leaks per person: 0.01195<br>crimes per person: 0.009153<br>poverty rate: 0.255<br>unempl. rate: 0.094
1,36047055300,14,37,2596,0.084,0.034,0.005392912,0.014252696,North Side-South Side,Brooklyn,-73.95923544264191,40.71645735003192,Brooklyn<br>North Side-South Side<br>36047055300<br>gas leaks per person: 0.005393<br>crimes per person: 0.014253<br>poverty rate: 0.084<br>unempl. rate: 0.034
2,36047057500,31,34,4249,0.133,0.045,0.007295834,0.008001883000000001,Greenpoint,Brooklyn,-73.95318945270432,40.732107334426296,Brooklyn<br>Greenpoint<br>36047057500<br>gas leaks per person: 0.007296<br>crimes per person: 0.008002<br>poverty rate: 0.133<br>unempl. rate: 0.045
3,36047052700,29,54,6629,0.268,0.106,0.004374717,0.008146025,North Side-South Side,Brooklyn,-73.95369501958956,40.70840054021982,Brooklyn<br>North Side-South Side<br>36047052700<br>gas leaks per person: 0.004375<br>crimes per person: 0.008146<br>poverty rate: 0.268<br>unempl. rate: 0.106
4,36047052900,8,22,3979,0.429,0.024,0.002010555,0.005529027,Williamsburg,Brooklyn,-73.95450599789929,40.70587151376474,Brooklyn<br>Williamsburg<br>36047052900<br>gas leaks per person: 0.002011<br>crimes per person: 0.005529<br>poverty rate: 0.429<br>unempl. rate: 0.024
5,36047050900,5,21,3694,0.6,0.024,0.001353546,0.005684894,Williamsburg,Brooklyn,-73.9505650947755,40.70327768450271,Brooklyn<br>Williamsburg<br>36047050900<br>gas leaks per person: 0.001354<br>crimes per person: 0.005685<br>poverty rate: 0.6<br>unempl. rate: 0.024
6,36047054700,14,26,5245,0.401,0.04,0.002669209,0.004957102,North Side-South Side,Brooklyn,-73.96658554748684,40.7085299518688,Brooklyn<br>North Side-South Side<br>36047054700<br>gas leaks per person: 0.002669<br>crimes per person: 0.004957<br>poverty rate: 0.401<br>unempl. rate: 0.04
7,36047055100,24,36,4597,0.125,0.033,0.005220796,0.007831194,North Side-South Side,Brooklyn,-73.96444451055302,40.713943971692,Brooklyn<br>North Side-South Side<br>36047055100<br>gas leaks per person: 0.005221<br>crimes per person: 0.007831<br>poverty rate: 0.125<br>unempl. rate: 0.033
8,36047049500,19,37,2603,0.12300000000000001,0.068,0.00729927,0.014214368,East Williamsburg,Brooklyn,-73.94335761155924,40.712362731174665,Brooklyn<br>East Williamsburg<br>36047049500<br>gas leaks per person: 0.007299<br>crimes per person: 0.014214<br>poverty rate: 0.123<br>unempl. rate: 0.068
9,36047049900,9,11,1753,0.078,0.069,0.005134056,0.006274956999999999,Greenpoint,Brooklyn,-73.94687298115772,40.720907675157854,Brooklyn<br>Greenpoint<br>36047049900<br>gas leaks per person: 0.005134<br>crimes per person: 0.006275<br>poverty rate: 0.078<br>unempl. rate: 0.069
10,36047050300,17,34,2582,0.094,0.063,0.006584043,0.013168087,East Williamsburg,Brooklyn,-73.94746339739548,40.712202425838,Brooklyn<br>East Williamsburg<br>36047050300<br>gas leaks per person: 0.006584<br>crimes per person: 0.013168<br>poverty rate: 0.094<br>unempl. rate: 0.063
11,36047050500,13,45,4163,0.28600000000000003,0.1,0.003122748,0.010809512,East Williamsburg,Brooklyn,-73.94494483317135,40.70805161086533,Brooklyn<br>East Williamsburg<br>36047050500<br>gas leaks per person: 0.003123<br>crimes per person: 0.01081<br>poverty rate: 0.286<br>unempl. rate: 0.1
12,36047051700,17,35,1735,0.092,0.018000000000000002,0.009798270999999999,0.020172911,North Side-South Side,Brooklyn,-73.95450011147001,40.720653291965775,Brooklyn<br>North Side-South Side<br>36047051700<br>gas leaks per person: 0.009798<br>crimes per person: 0.020173<br>poverty rate: 0.092<br>unempl. rate: 0.018
13,36047053300,3,20,6566,0.56,0.027000000000000003,0.00045689900000000003,0.003045995,Williamsburg,Brooklyn,-73.95736056061484,40.703767645836635,Brooklyn<br>Williamsburg<br>36047053300<br>gas leaks per person: 0.000457<br>crimes per person: 0.003046<br>poverty rate: 0.56<br>unempl. rate: 0.027
